trace_file,game_number,child_id,generation,parent_id,parent_rank,sampled_op,arm,prompt_sha256,prompt_chars,llm_parse_failed,proposed_word,proposed_words,proposed_word_invalid,realized_rank,predicted_closeness,predicted_closeness_clamped,predicted_bucket,self_report_parse_failed,basis_words_count,reason_chars
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,99bda7ae21394ad7ac6f36bfb238c20c,2,5c4e62300ea446f4921df65f743a7558,164,ml_mutation,genuine,4c2350e58aef1a6e4b9dd334da5870cdaf5aa031e5b0f2d5ccf8e088d8b3c1f5,3716,False,warm,warm;deep;tender,False,5694,0.4,False,top500,False,1,223
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,99bda7ae21394ad7ac6f36bfb238c20c,2,5c4e62300ea446f4921df65f743a7558,164,ml_mutation,wrong,137b272bc579328ff47179514db351323c9d3ab25266917fb3404f291cb2ec6a,3693,False,sympathy,sympathy;compassion;attachment,False,8024,0.6,False,top500,False,2,197
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,99bda7ae21394ad7ac6f36bfb238c20c,2,5c4e62300ea446f4921df65f743a7558,164,ml_mutation,filler,3f6b3b47bd5ef2098b61e7752a7ac7f65a15146f9058ac323a522c4ae1696b71,3703,False,cherish,cherish;admire;treasure,False,6032,0.7,False,top500,False,1,193
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,99bda7ae21394ad7ac6f36bfb238c20c,2,5c4e62300ea446f4921df65f743a7558,164,ml_mutation,absent,c9866064f36dd245ef0e0c820050dd8db8abf7dafb04ad9e3a60eb51406ae537,3438,False,affection,affection;compassion;sympathy,False,4205,0.7,False,top100,False,1,170
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,567f33841c114426b38294440db48cda,2,80c2f8bc162c43fd81a8c4d0b025d8fd,170,ml_mutation,genuine,fb1c30ce12acb15c050b0f6d4dfb1549a7eb6cdcba563e2600ab20043fcbddcb,3694,False,evaluate,evaluate;assess;analyze,False,24570,0.6,False,top500,False,1,168
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,567f33841c114426b38294440db48cda,2,80c2f8bc162c43fd81a8c4d0b025d8fd,170,ml_mutation,wrong,127882a1106ccc9736cb7da34b8c9b4fa41dbaf7745805f93263c188de0aea3e,3683,False,assess,assess;appraise;judge,False,24455,0.35,False,top500,False,1,113
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,567f33841c114426b38294440db48cda,2,80c2f8bc162c43fd81a8c4d0b025d8fd,170,ml_mutation,filler,a51b8722a86148dd4a953a9f34fbe622f2626b8e48b0679ca69981451c94cc2a,3691,False,evaluate,evaluate;assess;examine,False,24570,0.6,False,top500,False,1,186
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,567f33841c114426b38294440db48cda,2,80c2f8bc162c43fd81a8c4d0b025d8fd,170,ml_mutation,absent,6b287c8189dea3a4d17959e4f762ba16fa7e417f5957a04c90d2fbab030111f3,3463,False,assess,assess;evaluate;examine,False,24455,0.6,False,top500,False,1,161
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,46bf68d6f81b45978ef142fe3cec9b8e,3,07326e6774ef40bdab08c833b9faae1e,109,l_mutation,genuine,016adb434ec41e2f70363c26bacb9bb980a9081530c920af43b20d3b6af50af4,4343,False,arrangement,arrangement;layout;configuration,False,54030,0.25,False,top500,False,1,182
ea_llm_self_adaptive_api_1384_run1_20260728_223943.json,1384,46bf68d6f81b45978ef142fe3cec9b8e,3,07326e6774ef40bdab08c833b9faae1e,109,l_mutation,wrong,0afcf518878f4ec557eed51db8ce23c7a8c896ba55a946ad8f31e3c61efa44d6,4320,False,system,system;framework;structure,False,28534,0.3,False,top500,False,1,179
