trace_file,game_number,child_id,generation,parent_id,parent_rank,sampled_op,arm,prompt_sha256,prompt_chars,llm_parse_failed,proposed_word,proposed_words,proposed_word_invalid,realized_rank,predicted_closeness,predicted_closeness_clamped,predicted_bucket,self_report_parse_failed,basis_words_count,reason_chars
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,72eacae4fc614f52bed0ae4f5032973e,2,63944195fae743948f2c10ae0bb1874d,10,l_mutation,genuine,eaf9399a3082e81efbd34627b584c5ea34958126501d2f2fb0cf8e6c41bed1ae,3747,False,still,still;stiff;solid,False,191,0.5,False,beyond,False,1,177
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,72eacae4fc614f52bed0ae4f5032973e,2,63944195fae743948f2c10ae0bb1874d,10,l_mutation,wrong,e33437042ecb304f92cf11bd4fb08e2150f792d0a0067105663474668267f671,3681,False,pain,pain;itch;pressure,False,5,0.3,False,top500,False,1,149
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,72eacae4fc614f52bed0ae4f5032973e,2,63944195fae743948f2c10ae0bb1874d,10,l_mutation,filler,5af81f6ff182f190f26af99c7d5d2e9362b4ecb9006e69363551f9d9095333c5,3717,False,calm,calm;still;quiet,False,1384,0.4,False,top500,False,1,159
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,72eacae4fc614f52bed0ae4f5032973e,2,63944195fae743948f2c10ae0bb1874d,10,l_mutation,absent,bf07d087f3bbe66ed00fe0b4548b40b1942e447b97b527f18e4057977ef9c530,3452,False,frost,frost;damp;mold,False,2096,0.3,False,top500,False,1,119
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,6f638e7180d947258db28caaeb891968,2,8aef959ce40a403f8eff23dec59c95d4,243,l_mutation,genuine,dd78921753ed9a7f422f4383934d1ec5d4b09374b84dc1256f80a6cb7e1467db,3926,False,entity,entity;existence;essence,False,10218,0.4,False,top500,False,1,163
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,6f638e7180d947258db28caaeb891968,2,8aef959ce40a403f8eff23dec59c95d4,243,l_mutation,wrong,6a81524bc8056efa86de21cc62bd867261e3888c1dc70036373beb4eef7bd0b8,3887,False,existence,existence;essence;nature,False,1955,0.4,False,top500,False,1,156
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,6f638e7180d947258db28caaeb891968,2,8aef959ce40a403f8eff23dec59c95d4,243,l_mutation,filler,95065233debece8892ccaf264625cc0555e5587b0ce50b181c55ecc75b04aedc,3918,False,element,element;matter;substance,False,1244,0.4,False,top500,False,1,163
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,6f638e7180d947258db28caaeb891968,2,8aef959ce40a403f8eff23dec59c95d4,243,l_mutation,absent,23661c0cac5d8bd79ed4a394eadb3a03007241eb8e13cee09770d3d88d3e9c6c,3653,False,idea,idea;notion;principle,False,840,0.4,False,top500,False,1,107
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,35c9311f781f4856ae738676479c8c60,3,35e0bbb0b64846679664e3e587cdea13,8,l_mutation,genuine,a94c46478774db6e72addb7f373a605f766b6f0eee711ead40a8d3f6d27ce131,4195,False,toxin,toxin;contaminant;emission,False,2103,0.3,False,top500,False,1,150
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,35c9311f781f4856ae738676479c8c60,3,35e0bbb0b64846679664e3e587cdea13,8,l_mutation,wrong,9548baf10baeef2d972b6f4a834b53248d4a3e3fb24765a00fc43e265f9e66ff,4188,False,environmental,environmental;contaminant;exposure,False,2095,0.3,False,top500,False,1,140
