trace_file,game_number,child_id,generation,parent_id,parent_rank,sampled_op,arm,prompt_sha256,prompt_chars,llm_parse_failed,proposed_word,proposed_words,proposed_word_invalid,realized_rank,predicted_closeness,predicted_closeness_clamped,predicted_bucket,self_report_parse_failed,basis_words_count,reason_chars
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,9b216c7dfced42d7b7a030b603800112,2,d034c643037147d5b81b845c2d4e1963,111,ml_mutation,genuine,7ff2223c9448a406e7628b0fae53b21a8edce81af4ae615554bf394ccc1c1795,3662,False,trust,trust;sympathy;affection,False,96,0.7,False,top100,False,1,199
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,9b216c7dfced42d7b7a030b603800112,2,d034c643037147d5b81b845c2d4e1963,111,ml_mutation,wrong,b495bb6c34828e019a2d3aed94778d5fd2d90353e3472b04889a8c68cdebc74b,3600,False,care,care;aid;help,False,101,0.6,False,top500,False,1,155
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,9b216c7dfced42d7b7a030b603800112,2,d034c643037147d5b81b845c2d4e1963,111,ml_mutation,filler,dbd07a009cb5c7de98c50652e11b4a57af44ad432580577f4d022eba48215312,3629,False,negotiation,negotiation;cooperation;communication,False,955,0.2,False,beyond,False,1,98
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,9b216c7dfced42d7b7a030b603800112,2,d034c643037147d5b81b845c2d4e1963,111,ml_mutation,absent,1d52fc8a0c9196dce8030515eb0a19a5f8a401f1aa81453f28f533499b9307be,3364,False,support,support;solidarity;affection,False,2177,0.3,False,top500,False,1,167
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,064bbbf7e99c4f39bfb53636ae710051,3,dd354cd07b094a2ba7f602fc0ac45e3b,13,l_mutation,genuine,586166f7b744deb381c14b5dd0f7e625d288cde55af68e9de2fcd5f8317436de,4397,False,material,material;provision;nourishment,False,2998,0.7,False,top500,False,2,202
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,064bbbf7e99c4f39bfb53636ae710051,3,dd354cd07b094a2ba7f602fc0ac45e3b,13,l_mutation,wrong,05906cc482b5b6dd10fd22f77fbcc54a891f10d474aeaa7c66c28942ae302568,4409,False,distribution,distribution;allocation;systems,False,10595,0.2,False,beyond,False,1,164
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,064bbbf7e99c4f39bfb53636ae710051,3,dd354cd07b094a2ba7f602fc0ac45e3b,13,l_mutation,filler,cdeac4d4c3a3891834d8f6c79b27a3aa6eb6f020caa82e21fe8934f137c5112d,4404,False,growth,growth;introspection;resilience,False,3825,0.4,False,top500,False,1,160
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,064bbbf7e99c4f39bfb53636ae710051,3,dd354cd07b094a2ba7f602fc0ac45e3b,13,l_mutation,absent,42896278e2ced194d9f4fe42d42765cbd23756e3cd27103c53c8b989f8b19c3e,4139,False,space,space;layout;domain,False,4563,0.3,False,top500,False,3,170
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,b0c22dcaeb974d258d69f024020128a2,3,9b216c7dfced42d7b7a030b603800112,62,l_mutation,genuine,2b494a8684df273d55af097e62b44ceb4b968c98c4e7c81929190bf74f462046,4622,False,network,network;symbiosis;interdependence,False,3246,0.3,False,top500,False,2,199
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,b0c22dcaeb974d258d69f024020128a2,3,9b216c7dfced42d7b7a030b603800112,62,l_mutation,wrong,5d9fea324dfcde5bc58dceb04f8cb5965289fc50b075b7965a30f0bf985ea5af,4515,False,network,network;structure;pattern,False,3246,0.3,False,top500,False,1,195
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,b0c22dcaeb974d258d69f024020128a2,3,9b216c7dfced42d7b7a030b603800112,62,l_mutation,filler,d49eaceca38e808c4b4e2a291bc254957bc62b1f0ad1b7bfb23f8c81d506afa5,4606,False,network,network;system;pattern,False,3246,0.4,False,top500,False,1,195
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,b0c22dcaeb974d258d69f024020128a2,3,9b216c7dfced42d7b7a030b603800112,62,l_mutation,absent,9dd1bfe556191016799b88335b7bd1522c9f0c54f986af84b42d675a76ed9aa9,4265,False,network,network;pattern;structure,False,3246,0.3,False,top500,False,2,210
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,6255e2fd41ae4b9ea3dcd678406bc2c9,3,d034c643037147d5b81b845c2d4e1963,111,s_mutation,genuine,42fc35d5d2d4df65be976113d907d8fd30d6a6265c645b39e84f2ce2274f3125,4284,False,camaraderie,camaraderie;fellowship;companionship,False,214,0.8,False,top500,False,1,144
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,6255e2fd41ae4b9ea3dcd678406bc2c9,3,d034c643037147d5b81b845c2d4e1963,111,s_mutation,wrong,6bf30626d48374246652c72cddeb024709f6f15a52be073071ed60a51d69b0b9,4215,False,acquaintance,acquaintance;companionship;camaraderie,False,1877,0.6,False,top500,False,1,110
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,6255e2fd41ae4b9ea3dcd678406bc2c9,3,d034c643037147d5b81b845c2d4e1963,111,s_mutation,filler,a8babe5b133b1e72ea2bdca719b30097c0e1c01faf049bb580f5a080697716f3,4251,False,companionship,companionship;camaraderie;solidarity,False,679,0.6,False,top500,False,1,135
ea_llm_self_adaptive_api_1307_run1_20260722_160312.json,1307,6255e2fd41ae4b9ea3dcd678406bc2c9,3,d034c643037147d5b81b845c2d4e1963,111,s_mutation,absent,02736458fc65bb53d64fc3aa3c92aab4ed54ad36dc517936c5b2864a91a34a51,3986,False,fellowship,fellowship;companionship;camaraderie,False,3484,0.6,False,top500,False,1,154
