trace_file,game_number,child_id,generation,parent_id,parent_rank,sampled_op,arm,prompt_sha256,prompt_chars,llm_parse_failed,proposed_word,proposed_words,proposed_word_invalid,realized_rank,predicted_closeness,predicted_closeness_clamped,predicted_bucket,self_report_parse_failed,basis_words_count,reason_chars
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,01ad9dd30b8a41f6b4fc8773798f71f8,2,f3b281fe2902415bb0726356f5cf9ac9,54,l_mutation,genuine,b6ef4bcd7e53078c16aebb7e70a5a5be78b1686c052f21ac63aa5aa41c91bfe0,3921,False,ore,ore;quartz;limestone,False,713,0.4,False,top500,False,1,98
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,01ad9dd30b8a41f6b4fc8773798f71f8,2,f3b281fe2902415bb0726356f5cf9ac9,54,l_mutation,wrong,e1eeed2669bc2f0143d6ceeb23e0aaab4ac093ef124e47d46c042bfbee021fd3,3902,False,mine,mine;quarry;ore,False,98,0.3,False,top500,False,1,121
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,01ad9dd30b8a41f6b4fc8773798f71f8,2,f3b281fe2902415bb0726356f5cf9ac9,54,l_mutation,filler,4769bb60e89c99176ad3ea7cc04ab078aab0d74fb18c6720e23dd9667d72a6a8,3929,False,environment,environment;landscape;terrain,False,50993,0.2,False,beyond,False,1,157
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,01ad9dd30b8a41f6b4fc8773798f71f8,2,f3b281fe2902415bb0726356f5cf9ac9,54,l_mutation,absent,20973fe9851e9bae40a1200520f09144a09f53c9352ec0b544644185ac5a608e,3664,False,mineral,mineral;quarry;ore,False,481,0.3,False,top500,False,1,122
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,0dba47f2a80e4ff79c5731b4ab8693b9,2,f70b7038b82a4045bc82d91cbe9fae4c,117,ml_mutation,genuine,7b5d1675e3bb37115fc8ba761c42ba1a7d212e26ed371f1779c4921f3aa3b321,3677,False,symmetry,symmetry;balance;proportion,False,3159,0.4,False,top500,False,1,148
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,0dba47f2a80e4ff79c5731b4ab8693b9,2,f70b7038b82a4045bc82d91cbe9fae4c,117,ml_mutation,wrong,77d35e814098b313a90598422383dbe3d720e4f8c463ce2310cedf2929cb5518,3685,False,angle,angle;radius;diameter,False,18206,0.4,False,top500,False,1,120
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,0dba47f2a80e4ff79c5731b4ab8693b9,2,f70b7038b82a4045bc82d91cbe9fae4c,117,ml_mutation,filler,17a219cbc9e73ae555f0d6bb8daeac6a2db838cf0bfe0de1dd7aa1ad2611440d,3678,False,property,property;dimension;angle,False,9878,0.4,False,top500,False,1,150
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,0dba47f2a80e4ff79c5731b4ab8693b9,2,f70b7038b82a4045bc82d91cbe9fae4c,117,ml_mutation,absent,a0a788243e774bcfa2c8f1415699070fdba4333d0e1025d29660a55e0859f5fc,3450,False,regular,regular;concave;symmetry,False,11008,0.35,False,top500,False,1,157
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,9ceaa7ffd157471892599b059c51800e,2,420fadd3cc6a4d168ff626bf3dfa21eb,198,l_mutation,genuine,343df1aa50b5b64a73675b08be6c17f55c5071f0a60024699a5f3c3ed5ec625a,4031,False,perception,perception;pattern;horizon,False,31876,0.4,False,top500,False,1,119
ea_llm_self_adaptive_api_1352_run1_20260722_182747.json,1352,9ceaa7ffd157471892599b059c51800e,2,420fadd3cc6a4d168ff626bf3dfa21eb,198,l_mutation,wrong,932c0f4a6657f40a0dcca3cb0b8c82f4e0370a84036c43e086e697e02d994369,4081,False,sky,sky;ocean;mountain,False,1189,0.2,False,beyond,False,2,139
