trace_file,game,method,game_number,target,target_source,provenance_hash,trace_schema_version,sigma_mode,generation,source_event,operator,hypothesis_name,parent_id,parent_rank,predicted_closeness,predicted_closeness_clamped,predicted_bucket,self_report_parse_failed,injected_rationale_hash,rationale_inherited,rationale_truncated,basis_words_count,proposed_word,realized_rank,proposed_word_invalid,child_best_word,child_best_rank
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,OPERATOR_SAMPLED,ml_mutation,edible item descriptors,4471ef0cd6ee497d80f62d6c1f74a33e,103,0.4,False,top500,False,,False,False,1,crispy,12356,False,sweet,1054
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,OPERATOR_SAMPLED,m_mutation,furniture types,ceabdfb5be3945afa7ff873d16603a28,126,0.3,False,top500,False,,False,False,1,table,345,False,counter,19
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,OPERATOR_SAMPLED,s_mutation,workspace environments,0040606f8dd749618709729196a6758d,241,0.6,False,top500,False,,False,False,1,workspace,471,False,workspace,471
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,OPERATOR_SAMPLED,s_mutation,mothers,b63643e0486c494db4f4638affa105c9,583,0.6,False,top500,False,,False,False,1,mother,583,False,mother,583
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,OPERATOR_SAMPLED,l_mutation,celestial bodies,c9a8e14caeda411a9edc052ade91503b,1300,0.2,False,beyond,False,,False,False,1,star,36685,False,planet,16487
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,1,CROSSOVER,crossover,kitchen_elements,8b77ea20ded0498e9acd103c64e62a38;4471ef0cd6ee497d80f62d6c1f74a33e,19,0.3,False,beyond,False,,False,False,4,surface,10472,False,counter,19
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,2,OPERATOR_SAMPLED,l_mutation,architectural elements,8b77ea20ded0498e9acd103c64e62a38,6,0.4,False,top500,False,3ab83fa7f3bcf123,True,False,1,beam,1770,False,wall,483
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,2,OPERATOR_SAMPLED,ml_mutation,food textures,4471ef0cd6ee497d80f62d6c1f74a33e,103,0.2,False,beyond,False,,False,False,1,soft,9962,False,light,5485
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,2,OPERATOR_SAMPLED,ml_mutation,furniture,ceabdfb5be3945afa7ff873d16603a28,126,0.6,False,top500,False,,False,False,1,cabinet,5,False,cabinet,5
ea_llm_self_adaptive_api_1390_run1_20260720_144938.json,api,ea_llm_self_adaptive,1390,pantry,solved,bd9f2858283673a2,3,frozen_uniform,2,OPERATOR_SAMPLED,ml_mutation,places,0040606f8dd749618709729196a6758d,241,0.6,False,top500,False,,False,False,1,building,914,False,room,119
